ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
63581743,0.0,16MAR39,60.0,0.0,11.0,67349.0,No,0.0,z_No,0,PhD,Professional,14.0,Private,14230.0,11.0,Minivan,yes,4461.0,2,No,3.0,103.45,18.0,0,Highly Urban/ Urban
132761049,0.0,21JAN56,43.0,0.0,11.0,91449.0,No,257252.0,z_No,0,High School,Blue Collar,22.0,Commercial,14940.0,1.0,Minivan,yes,0.0,0,No,0.0,100.07,1.0,0,Highly Urban/ Urban
921317019,0.0,18NOV51,48.0,0.0,11.0,52881.0,No,0.0,z_No,0,Bachelor,Manager,26.0,Private,21970.0,1.0,Van,yes,0.0,0,No,2.0,102.13,10.0,0,Highly Urban/ Urban
727598473,0.0,05MAR64,35.0,1.0,10.0,16039.0,No,124191.0,Yes,1,High School,Clerical,5.0,Private,4010.0,4.0,SUV,no,38690.0,2,No,3.0,111.07,10.0,0,Highly Urban/ Urban
450221861,0.0,05JUN48,51.0,0.0,14.0,42730.6,No,306251.0,Yes,0,High School,Blue Collar,32.0,Private,15440.0,7.0,Minivan,yes,0.0,0,No,0.0,98.16,6.0,0,Highly Urban/ Urban
743146596,0.0,17MAY49,50.0,0.0,6.4,114986.0,No,243925.0,Yes,1,PhD,Doctor,36.0,Private,18000.0,1.0,SUV,no,19217.0,2,Yes,3.0,105.81,17.0,0,Highly Urban/ Urban
871024631,0.0,05MAY65,34.0,1.0,12.0,125301.0,Yes,0.0,z_No,1,Bachelor,Blue Collar,46.0,Commercial,17430.0,1.0,Sports Car,no,0.0,0,No,0.0,2946.0,7.0,1,Highly Urban/ Urban
792300541,0.0,28FEB45,54.0,0.0,8.6,18755.0,No,116202.0,Yes,1,High School,Blue Collar,33.0,Private,8780.0,1.0,SUV,no,0.0,0,No,0.0,107.32,1.0,0,Highly Urban/ Urban
7945239,1.0,17SEP59,40.0,1.0,11.0,50815.0,Yes,0.0,z_No,0,High School,Manager,21.0,Private,18930.0,6.0,Minivan,no,3295.0,1,No,2.0,6477.0,1.0,1,Highly Urban/ Urban
3577610,0.0,21AUG55,44.0,2.0,12.0,43486.0,Yes,0.0,z_No,1,High School,Blue Collar,30.0,Commercial,5900.0,10.0,SUV,no,0.0,0,No,0.0,110.09,10.0,0,Highly Rural/ Rural
892208080,1.0,14DEC61,37.0,2.0,11.8,107961.0,No,333680.0,Yes,0,Bachelor,Blue Collar,44.0,Commercial,16970.0,1.0,Van,yes,2374.0,1,Yes,10.0,4021.0,7.0,1,Highly Urban/ Urban
77382913,0.0,22NOV64,34.0,0.0,10.0,62978.0,No,0.0,z_No,1,Bachelor,Clerical,34.0,Private,11200.0,1.0,SUV,no,0.0,0,No,0.0,2501.0,1.0,1,Highly Urban/ Urban
856886560,0.0,22OCT49,50.0,0.0,7.0,106952.0,No,0.0,z_No,0,Bachelor,Professional,48.0,Commercial,18510.0,7.0,Van,no,0.0,0,No,1.0,105.77,17.0,0,Highly Rural/ Rural
308455362,0.0,25DEC45,53.0,0.0,14.0,77100.0,No,0.0,z_No,1,Masters,Lawyer,15.0,Private,18300.0,1.0,Sports Car,no,0.0,0,No,0.0,6077.0,11.0,1,Highly Urban/ Urban
989828809,0.0,19JUN56,43.0,0.0,5.0,52642.0,No,209970.0,Yes,1,Masters,Professional,36.0,Private,22420.0,7.0,Minivan,no,0.0,0,No,0.0,111.33,1.0,0,Highly Rural/ Rural
376482434,0.0,03MAR44,55.0,0.0,11.0,59162.0,No,180232.0,Yes,0,Bachelor,Manager,25.0,Commercial,17600.0,7.0,Van,yes,5028.0,2,Yes,3.0,96.39,9.0,0,Highly Urban/ Urban
665591504,0.0,19JUL46,53.0,0.0,11.0,130795.0,No,0.0,z_No,0,PhD,Doctor,64.0,Commercial,28340.0,6.0,Panel Truck,yes,0.0,0,No,3.0,1267.0,10.0,1,Highly Urban/ Urban
713692930,0.0,17AUG64,35.0,2.0,7.6,21204.0,Yes,0.0,z_No,0,High School,Clerical,74.0,Private,9230.0,6.0,Pickup,no,0.0,0,Yes,0.0,103.95,4.0,0,Highly Rural/ Rural
588888550,0.0,17JAN54,45.0,0.0,0.0,0.0,No,106859.0,Yes,1,High School,Home Maker,48.0,Private,6000.0,1.0,SUV,no,0.0,0,No,3.0,2920.0,5.0,1,Highly Urban/ Urban
140015922,0.0,06AUG60,39.0,3.0,12.0,51884.0,Yes,180951.0,z_No,1,Bachelor,Clerical,43.0,Private,10590.0,6.0,SUV,no,0.0,0,No,0.0,109.09,13.0,0,Highly Rural/ Rural
162166370,0.0,19APR40,59.0,0.0,12.0,87460.0,No,0.0,z_No,0,High School,Manager,45.0,Private,15420.0,1.0,Minivan,yes,44857.0,2,No,4.0,4111.0,1.0,1,Highly Urban/ Urban
884513944,0.0,20DEC56,42.0,0.0,11.0,59945.0,No,192207.0,Yes,0,Masters,Lawyer,42.0,Private,14190.0,6.0,Minivan,no,0.0,0,No,0.0,95.61,16.0,0,Highly Urban/ Urban
627708979,0.0,14SEP65,34.0,3.0,13.0,34019.0,No,91875.0,Yes,1,Masters,Lawyer,27.0,Private,8300.0,7.0,SUV,no,0.0,0,No,0.0,109.46,20.0,0,Highly Urban/ Urban
116375554,0.0,06OCT68,31.0,2.0,12.0,18903.0,No,93797.0,Yes,1,High School,Clerical,48.0,Private,17330.0,4.0,Minivan,no,0.0,0,No,0.0,101.92,7.0,0,Highly Urban/ Urban
235358484,0.0,22FEB71,28.0,1.0,13.0,44077.0,No,170598.0,Yes,1,High School,Blue Collar,29.0,Commercial,8710.0,6.0,SUV,no,8935.0,2,No,0.0,6857.0,1.0,1,Highly Urban/ Urban
528040687,0.0,07FEB56,43.0,0.0,13.0,37214.0,No,128154.4,Yes,0,High School,Blue Collar,52.0,Commercial,26560.0,1.0,Panel Truck,yes,0.0,0,No,3.0,3627.0,1.0,1,Highly Urban/ Urban
