timeAsCustomer,driverAge,insuranceAccess,insurancePremium,driverGender,educationLevel,accidentType,incidentSeverity,authoritiesInvolved,incidentTime,numVehiclesInvolved,numBodilyInjuries,policeReportBool,totalClaimAmount,Fraud,vehicleAge,driverExperience,licenceType
97,35,500,1005,,High School,Single Vehicle Collision,Total Loss,Police,10,1,0,1,8000,0,14,15,Full
118,27,2000,986,,Bachelor,Single Vehicle Collision,Major Loss,Police,22,1,0,1,5000,0,17,6,Full
39,42,2000,1214,,High School,Single Vehicle Collision,Major Loss,Ambulance,3,1,1,1,8000,1,3,26,Full
48,57,500,1545,,High School,Single Vehicle Collision,Minor Loss,Police,22,1,0,1,9000,0,15,38,Full
69,45,1000,1399,,High School,Single Vehicle Collision,Total Loss,Ambulance,20,1,0,1,8000,0,14,26,Full
66,62,2000,1069,,Masters,Single Vehicle Collision,Minor Loss,Police,14,1,0,1,2000,0,11,43,Full
39,31,1000,1413,,High School,Single Vehicle Collision,Major Loss,Police,0,1,0,0,7000,1,12,14,Full
88,51,1000,1404,,College,Vehicle Theft,Minor Loss,Ambulance,13,1,0,0,10000,0,2,32,Full
34,43,1000,994,,College,Parked Car,Major Loss,Ambulance,21,1,0,0,9000,0,12,22,Full
102,47,500,1113,,High School,Multi-vehicle Collision,Total Loss,Police,7,3,1,1,2000,0,7,29,Full
36,33,2000,1202,,High School,Single Vehicle Collision,Major Loss,Police,15,1,1,1,7000,0,18,13,Full
69,50,1000,1312,,Bachelor,Single Vehicle Collision,Total Loss,,0,1,1,1,6000,0,6,28,Full
35,34,500,1520,,Bachelor,Single Vehicle Collision,Major Loss,Police,9,1,0,1,1000,0,11,18,Full
21,61,2000,984,,College,Parked Car,Minor Loss,,4,1,0,1,10000,0,8,45,Full
64,55,1000,1402,,MD,Multi-vehicle Collision,Total Loss,Ambulance,13,3,0,1,9000,0,18,35,Full
114,50,1000,1638,,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,23,3,0,1,1000,0,5,32,Full
72,39,500,1534,,MD,Multi-vehicle Collision,Total Loss,,8,3,1,1,7000,0,1,22,Full
51,57,500,1615,,High School,Vehicle Theft,Major Loss,Ambulance,0,1,1,1,6000,0,15,35,Full
27,62,500,1293,,Masters,Single Vehicle Collision,Total Loss,Police,12,1,0,1,3000,0,8,40,Full
119,41,1000,1333,,Bachelor,Vehicle Theft,Minor Loss,Other,23,1,0,0,5000,0,12,25,Full
41,30,1000,1099,,PhD,Parked Car,Minor Loss,,9,1,1,1,5000,0,0,13,Full
93,39,500,1555,,High School,Single Vehicle Collision,Minor Loss,Police,5,1,1,1,4000,0,20,18,Full
9,49,500,969,,Bachelor,Single Vehicle Collision,Minor Loss,Police,16,1,0,1,4000,0,18,32,Full
88,35,500,1325,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,6,1,0,1,1000,0,12,14,Full
14,33,2000,1349,,High School,Multi-vehicle Collision,Total Loss,,1,3,0,1,4000,0,0,17,Full
21,27,500,854,,High School,Single Vehicle Collision,Minor Loss,Other,6,1,1,0,7000,0,7,10,Full
14,41,500,944,,Bachelor,Multi-vehicle Collision,Total Loss,Other,10,3,1,0,3000,0,20,21,Full
77,59,500,1147,,MD,Parked Car,Major Loss,,11,1,0,0,5000,0,13,40,Full
22,32,500,1106,,MD,Single Vehicle Collision,Major Loss,Other,7,1,1,1,1000,0,3,16,Full
