AGE,EDUCATION,REVOKED,CLM_AMT,CAR_AGE,driverExperience,licenceType
60,PhD,No,103,18,40,Full
43,High School,No,100,1,22,Full
48,Bachelor,No,102,10,32,Full
35,High School,No,111,10,16,Full
51,High School,No,98,6,32,Full
50,PhD,Yes,106,17,31,Full
34,Bachelor,No,2946,7,17,Full
54,High School,No,107,1,35,Full
40,High School,No,6477,1,19,Full
44,High School,No,110,10,26,Full
37,Bachelor,Yes,4021,7,17,Full
34,Bachelor,No,2501,1,12,Full
50,Bachelor,No,106,17,34,Full
53,Masters,No,6077,11,37,Full
43,Masters,No,111,1,23,Full
55,Bachelor,Yes,96,9,37,Full
53,PhD,No,1267,10,36,Full
35,High School,Yes,104,4,13,Full
45,High School,No,2920,5,23,Full
39,Bachelor,No,109,13,23,Full
59,High School,No,4111,1,42,Full
42,Masters,No,96,16,21,Full
34,Masters,No,109,20,17,Full
31,High School,No,102,7,10,Full
28,High School,No,6857,1,12,Full
43,High School,No,3627,1,26,Full
48,Masters,No,100,14,28,Full
47,High School,No,103,5,28,Full
44,High School,No,121,11,28,Full
46,Bachelor,No,99,12,27,Full
60,High School,No,5247,1,39,Full
33,Bachelor,No,106,15,11,Full
32,High School,No,4486,1,16,Full
44,Bachelor,No,102,12,26,Full
35,Bachelor,No,108,12,16,Full
40,Masters,Yes,116,12,24,Full
54,High School,No,4901,8,37,Full
49,Bachelor,No,108,1,30,Full
36,Bachelor,No,99,9,15,Full
52,Bachelor,No,113,10,33,Full
41,Masters,No,99,15,22,Full
39,Bachelor,No,93,13,17,Full
56,PhD,No,110,12,40,Full
49,PhD,No,104,14,32,Full
38,High School,No,102,9,21,Full
43,Masters,No,94,15,26,Full
50,PhD,No,114,1,34,Full
63,PhD,No,108,11,45,Full
52,High School,No,115,6,32,Full
35,Bachelor,No,110,7,16,Full
43,Bachelor,No,100,8,21,Full
41,High School,No,107,1,22,Full
40,Bachelor,No,102,5,22,Full
31,Bachelor,No,108,5,11,Full
47,High School,No,96,13,29,Full
53,Masters,No,96,15,37,Full
39,High School,No,118,5,23,Full
33,High School,No,108,1,13,Full
59,Masters,No,106,12,38,Full
42,High School,No,89,11,21,Full
40,High School,Yes,6100,6,18,Full
41,High School,Yes,111,1,25,Full
37,High School,No,6195,7,17,Full
36,Masters,No,99,16,19,Full
44,High School,No,8841,1,24,Full
56,Bachelor,No,104,6,39,Full
45,Masters,Yes,2117,13,27,Full
34,High School,Yes,1230,1,16,Full
48,Bachelor,No,100,10,32,Full
44,Bachelor,No,3532,10,27,Full
33,High School,No,866,1,16,Full
32,High School,Yes,103,8,15,Full
34,High School,Yes,7786,10,17,Full
38,High School,No,102,1,19,Full
35,High School,No,5426,4,13,Full
44,High School,No,100,12,25,Full
43,Masters,No,4148,15,21,Full
49,PhD,Yes,98,18,31,Full
46,Bachelor,Yes,104,11,27,Full
45,PhD,No,100,20,29,Full
46,Masters,Yes,100,12,24,Full
45,Masters,No,88,9,26,Full
48,Masters,No,96,17,27,Full
63,PhD,No,111,18,43,Full
44,Bachelor,No,111,1,27,Full
45,Bachelor,No,2371,11,27,Full
62,High School,Yes,4178,7,42,Full
48,High School,No,111,7,29,Full
37,Bachelor,No,4804,3,17,Full
35,High School,No,122,1,13,Full
