driverAge,educationLevel,totalClaimAmount,fraud,vehicleAge,driverExperience,licenceType
60,PhD,103,0,18,40,Full
43,High School,100,0,1,22,Full
48,Bachelor,102,0,10,32,Full
35,High School,111,0,10,16,Full
51,High School,98,0,6,32,Full
50,PhD,106,1,17,31,Full
34,Bachelor,2946,0,7,17,Full
54,High School,107,0,1,35,Full
40,High School,6477,0,1,19,Full
44,High School,110,0,10,26,Full
37,Bachelor,4021,1,7,17,Full
34,Bachelor,2501,0,1,12,Full
50,Bachelor,106,0,17,34,Full
53,Masters,6077,0,11,37,Full
43,Masters,111,0,1,23,Full
55,Bachelor,96,1,9,37,Full
53,PhD,1267,0,10,36,Full
35,High School,104,1,4,13,Full
45,High School,2920,0,5,23,Full
39,Bachelor,109,0,13,23,Full
59,High School,4111,0,1,42,Full
42,Masters,96,0,16,21,Full
34,Masters,109,0,20,17,Full
31,High School,102,0,7,10,Full
28,High School,6857,0,1,12,Full
43,High School,3627,0,1,26,Full
48,Masters,100,0,14,28,Full
47,High School,103,0,5,28,Full
44,High School,121,0,11,28,Full
46,Bachelor,99,0,12,27,Full
60,High School,5247,0,1,39,Full
33,Bachelor,106,0,15,11,Full
32,High School,4486,0,1,16,Full
44,Bachelor,102,0,12,26,Full
35,Bachelor,108,0,12,16,Full
40,Masters,116,1,12,24,Full
54,High School,4901,0,8,37,Full
49,Bachelor,108,0,1,30,Full
36,Bachelor,99,0,9,15,Full
52,Bachelor,113,0,10,33,Full
41,Masters,99,0,15,22,Full
39,Bachelor,93,0,13,17,Full
56,PhD,110,0,12,40,Full
49,PhD,104,0,14,32,Full
38,High School,102,0,9,21,Full
43,Masters,98,0,15,26,Full
50,PhD,114,0,1,34,Full
63,PhD,108,0,11,45,Full
52,High School,115,0,6,32,Full
35,Bachelor,110,0,7,16,Full
43,Bachelor,100,0,8,21,Full
41,High School,107,0,1,22,Full
40,Bachelor,102,0,5,22,Full
31,Bachelor,108,0,5,11,Full
47,High School,96,0,13,29,Full
53,Masters,96,0,15,37,Full
39,High School,118,0,5,23,Full
33,High School,108,0,1,13,Full
59,Masters,106,0,12,38,Full
42,High School,89,0,11,21,Full
40,High School,6100,1,6,18,Full
