index,timeAsCustomer,driverAge,insuranceAccess,insurancePremium,educationLevel,accidentType,incidentSeverity,authoritiesInvolved,incidentTime,numVehiclesInvolved,numBodilyInjuries,policeReportBool,totalClaimAmount,fraud,vehicleAge,driverExperience,licenceType
1,328.0,48.0,1000.0,1407.0,MD,Single Vehicle Collision,Major Damage,Police,5.0,1.0,1.0,1.0,71610.0,1,11.0,28.0,Full
2,228.0,42.0,2000.0,1197.0,MD,Vehicle Theft,Minor Damage,Police,8.0,1.0,0.0,0.0,5070.0,1,8.0,21.0,Full
3,134.0,29.0,2000.0,1413.0,PhD,Multi-vehicle Collision,Minor Damage,Police,7.0,3.0,2.0,0.0,34650.0,0,8.0,13.0,Full
4,256.0,41.0,2000.0,1416.0,PhD,Single Vehicle Collision,Major Damage,Police,5.0,1.0,1.0,0.0,63400.0,1,1.0,22.0,Full
5,228.0,44.0,1000.0,1584.0,Associate,Vehicle Theft,Minor Damage,None,20.0,1.0,0.0,0.0,6500.0,0,6.0,25.0,Full
6,256.0,39.0,1000.0,1351.0,PhD,Multi-vehicle Collision,Major Damage,Fire,19.0,3.0,0.0,0.0,64100.0,1,12.0,20.0,Full
7,137.0,34.0,1000.0,1333.0,PhD,Multi-vehicle Collision,Minor Damage,Police,0.0,3.0,0.0,0.0,78650.0,0,3.0,17.0,Full
8,165.0,37.0,1000.0,1137.0,Associate,Multi-vehicle Collision,Total Loss,Police,23.0,3.0,2.0,1.0,51590.0,0,0.0,18.0,Full
9,27.0,33.0,500.0,1443.0,PhD,Single Vehicle Collision,Total Loss,Police,21.0,1.0,1.0,1.0,27700.0,0,3.0,12.0,Full
10,212.0,42.0,500.0,1316.0,PhD,Single Vehicle Collision,Total Loss,Other,14.0,1.0,2.0,0.0,42300.0,0,19.0,24.0,Full
11,235.0,42.0,500.0,1253.0,Masters,Single Vehicle Collision,Total Loss,Police,22.0,1.0,2.0,0.0,87010.0,0,13.0,22.0,Full
12,447.0,61.0,2000.0,1137.0,High School,Multi-vehicle Collision,Major Damage,Fire,21.0,3.0,1.0,1.0,114920.0,0,9.0,39.0,Full
13,60.0,23.0,500.0,1215.0,MD,Single Vehicle Collision,Total Loss,Ambulance,9.0,1.0,1.0,0.0,56520.0,0,15.0,7.0,Full
14,121.0,34.0,1000.0,937.0,MD,Parked Car,Minor Damage,None,5.0,1.0,1.0,0.0,7280.0,0,5.0,18.0,Full
15,180.0,38.0,2000.0,1301.0,College,Single Vehicle Collision,Total Loss,Police,12.0,1.0,0.0,1.0,46200.0,1,12.0,18.0,Full
16,473.0,58.0,2000.0,1131.0,MD,Multi-vehicle Collision,Major Damage,Other,12.0,4.0,0.0,0.0,63120.0,1,16.0,40.0,Full
17,70.0,26.0,1000.0,1199.0,College,Multi-vehicle Collision,Major Damage,Other,0.0,3.0,1.0,1.0,52110.0,0,3.0,9.0,Full
18,140.0,31.0,500.0,709.0,High School,Single Vehicle Collision,Total Loss,Police,9.0,1.0,0.0,1.0,77880.0,0,0.0,9.0,Full
19,160.0,37.0,500.0,1374.0,MD,Single Vehicle Collision,Total Loss,Other,19.0,1.0,1.0,0.0,72930.0,0,0.0,15.0,Full
20,196.0,39.0,2000.0,1476.0,High School,Multi-vehicle Collision,Major Damage,Police,8.0,3.0,2.0,0.0,60400.0,0,1.0,23.0,Full
21,460.0,62.0,1000.0,1188.0,JD,Multi-vehicle Collision,Minor Damage,Police,20.0,3.0,1.0,0.0,47160.0,0,4.0,45.0,Full
22,217.0,41.0,2000.0,875.0,Associate,Multi-vehicle Collision,Total Loss,Police,15.0,3.0,1.0,0.0,37840.0,0,19.0,20.0,Full
23,370.0,55.0,2000.0,972.0,High School,Multi-vehicle Collision,Major Damage,Ambulance,20.0,3.0,0.0,1.0,71520.0,1,15.0,38.0,Full
24,413.0,55.0,2000.0,1269.0,MD,Single Vehicle Collision,Total Loss,Ambulance,15.0,1.0,2.0,0.0,98160.0,1,4.0,34.0,Full
25,237.0,40.0,1000.0,883.0,College,Single Vehicle Collision,Minor Damage,Other,6.0,1.0,1.0,0.0,77880.0,0,10.0,24.0,Full
26,8.0,35.0,2000.0,1267.0,Masters,Multi-vehicle Collision,Major Damage,Other,16.0,3.0,1.0,1.0,71500.0,1,9.0,18.0,Full
27,257.0,43.0,2000.0,1322.0,High School,Parked Car,Minor Damage,Police,4.0,1.0,1.0,1.0,9020.0,0,10.0,23.0,Full
28,202.0,34.0,500.0,848.0,JD,Vehicle Theft,Minor Damage,None,5.0,1.0,2.0,0.0,5720.0,1,12.0,15.0,Full
29,224.0,40.0,2000.0,1292.0,JD,Single Vehicle Collision,Minor Damage,Other,21.0,1.0,1.0,1.0,69840.0,0,6.0,24.0,Full
30,241.0,45.0,2000.0,1104.0,PhD,Single Vehicle Collision,Minor Damage,Police,5.0,1.0,2.0,0.0,91650.0,0,4.0,26.0,Full
