index,timeascustomer,driverage,insuranceaccess,insurancepremium,drivergender,educationlevel,accidenttype,incidentseverity,authoritiesinvolved,incidenttime,numvehiclesinvolved,numbodilyinjuries,policereportbool,totalclaimamount,fraud,vehicleage,driverexperience,licencetype
1,328.0,48.0,1000.0,1407.0,0.0,MD,Single Vehicle Collision,Major Damage,Police,5.0,1.0,1.0,1.0,71610.0,1,11.0,28.0,Full
2,228.0,42.0,2000.0,1197.0,0.0,MD,Vehicle Theft,Minor Damage,Police,8.0,1.0,0.0,0.0,5070.0,1,8.0,21.0,Full
3,134.0,29.0,2000.0,1413.0,1.0,PhD,Multi-vehicle Collision,Minor Damage,Police,7.0,3.0,2.0,0.0,34650.0,0,8.0,13.0,Full
4,256.0,41.0,2000.0,1416.0,1.0,PhD,Single Vehicle Collision,Major Damage,Police,5.0,1.0,1.0,0.0,63400.0,1,1.0,22.0,Full
5,228.0,44.0,1000.0,1584.0,0.0,Associate,Vehicle Theft,Minor Damage,,20.0,1.0,0.0,0.0,6500.0,0,6.0,25.0,Full
6,256.0,39.0,1000.0,1351.0,1.0,PhD,Multi-vehicle Collision,Major Damage,Fire,19.0,3.0,0.0,0.0,64100.0,1,12.0,20.0,Full
7,137.0,34.0,1000.0,1333.0,0.0,PhD,Multi-vehicle Collision,Minor Damage,Police,0.0,3.0,0.0,0.0,78650.0,0,3.0,17.0,Full
8,165.0,37.0,1000.0,1137.0,0.0,Associate,Multi-vehicle Collision,Total Loss,Police,23.0,3.0,2.0,1.0,51590.0,0,0.0,18.0,Full
9,27.0,33.0,500.0,1443.0,1.0,PhD,Single Vehicle Collision,Total Loss,Police,21.0,1.0,1.0,1.0,27700.0,0,3.0,12.0,Full
10,212.0,42.0,500.0,1316.0,0.0,PhD,Single Vehicle Collision,Total Loss,Other,14.0,1.0,2.0,0.0,42300.0,0,19.0,24.0,Full
11,235.0,42.0,500.0,1253.0,1.0,Masters,Single Vehicle Collision,Total Loss,Police,22.0,1.0,2.0,0.0,87010.0,0,13.0,22.0,Full
12,447.0,61.0,2000.0,1137.0,1.0,High School,Multi-vehicle Collision,Major Damage,Fire,21.0,3.0,1.0,1.0,114920.0,0,9.0,39.0,Full
13,60.0,23.0,500.0,1215.0,0.0,MD,Single Vehicle Collision,Total Loss,Ambulance,9.0,1.0,1.0,0.0,56520.0,0,15.0,7.0,Full
14,121.0,34.0,1000.0,937.0,1.0,MD,Parked Car,Minor Damage,,5.0,1.0,1.0,0.0,7280.0,0,5.0,18.0,Full
15,180.0,38.0,2000.0,1301.0,1.0,College,Single Vehicle Collision,Total Loss,Police,12.0,1.0,0.0,1.0,46200.0,1,12.0,18.0,Full
16,473.0,58.0,2000.0,1131.0,1.0,MD,Multi-vehicle Collision,Major Damage,Other,12.0,4.0,0.0,0.0,63120.0,1,16.0,40.0,Full
17,70.0,26.0,1000.0,1199.0,0.0,College,Multi-vehicle Collision,Major Damage,Other,0.0,3.0,1.0,1.0,52110.0,0,3.0,9.0,Full
18,140.0,31.0,500.0,709.0,0.0,High School,Single Vehicle Collision,Total Loss,Police,9.0,1.0,0.0,1.0,77880.0,0,0.0,9.0,Full
19,160.0,37.0,500.0,1374.0,1.0,MD,Single Vehicle Collision,Total Loss,Other,19.0,1.0,1.0,0.0,72930.0,0,0.0,15.0,Full
20,196.0,39.0,2000.0,1476.0,1.0,High School,Multi-vehicle Collision,Major Damage,Police,8.0,3.0,2.0,0.0,60400.0,0,1.0,23.0,Full
21,460.0,62.0,1000.0,1188.0,0.0,JD,Multi-vehicle Collision,Minor Damage,Police,20.0,3.0,1.0,0.0,47160.0,0,4.0,45.0,Full
22,217.0,41.0,2000.0,875.0,1.0,Associate,Multi-vehicle Collision,Total Loss,Police,15.0,3.0,1.0,0.0,37840.0,0,19.0,20.0,Full
23,370.0,55.0,2000.0,972.0,0.0,High School,Multi-vehicle Collision,Major Damage,Ambulance,20.0,3.0,0.0,1.0,71520.0,1,15.0,38.0,Full
24,413.0,55.0,2000.0,1269.0,0.0,MD,Single Vehicle Collision,Total Loss,Ambulance,15.0,1.0,2.0,0.0,98160.0,1,4.0,34.0,Full
25,237.0,40.0,1000.0,883.0,0.0,College,Single Vehicle Collision,Minor Damage,Other,6.0,1.0,1.0,0.0,77880.0,0,10.0,24.0,Full
26,8.0,35.0,2000.0,1267.0,0.0,Masters,Multi-vehicle Collision,Major Damage,Other,16.0,3.0,1.0,1.0,71500.0,1,9.0,18.0,Full
27,257.0,43.0,2000.0,1322.0,0.0,High School,Parked Car,Minor Damage,Police,4.0,1.0,1.0,1.0,9020.0,0,10.0,23.0,Full
28,202.0,34.0,500.0,848.0,0.0,JD,Vehicle Theft,Minor Damage,,5.0,1.0,2.0,0.0,5720.0,1,12.0,15.0,Full
29,224.0,40.0,2000.0,1292.0,1.0,JD,Single Vehicle Collision,Minor Damage,Other,21.0,1.0,1.0,1.0,69840.0,0,6.0,24.0,Full
30,241.0,45.0,2000.0,1104.0,1.0,PhD,Single Vehicle Collision,Minor Damage,Police,5.0,1.0,2.0,0.0,91650.0,0,4.0,26.0,Full
31,64.0,25.0,1000.0,954.0,0.0,Masters,Multi-vehicle Collision,Major Damage,Ambulance,22.0,4.0,0.0,0.0,75600.0,0,10.0,4.0,P2
32,166.0,37.0,2000.0,1337.0,0.0,JD,Multi-vehicle Collision,Major Damage,Police,10.0,3.0,2.0,0.0,67140.0,1,9.0,15.0,Full
33,155.0,35.0,1000.0,1088.0,1.0,Associate,Multi-vehicle Collision,Total Loss,Police,16.0,3.0,2.0,0.0,29790.0,0,7.0,19.0,Full
34,114.0,30.0,1000.0,1558.0,0.0,High School,Multi-vehicle Collision,Major Damage,Ambulance,1.0,3.0,1.0,0.0,77110.0,0,0.0,12.0,Full
35,149.0,37.0,500.0,1416.0,0.0,PhD,Single Vehicle Collision,Total Loss,Fire,17.0,1.0,0.0,1.0,64800.0,0,16.0,18.0,Full
36,147.0,33.0,1000.0,1334.0,0.0,High School,Single Vehicle Collision,Major Damage,Other,15.0,1.0,2.0,1.0,53100.0,1,20.0,17.0,Full
37,62.0,28.0,1000.0,988.0,1.0,Masters,Single Vehicle Collision,Total Loss,Police,3.0,1.0,1.0,1.0,60200.0,1,11.0,11.0,Full
38,289.0,49.0,2000.0,1222.0,1.0,JD,Parked Car,Minor Damage,,16.0,1.0,1.0,1.0,5330.0,0,14.0,30.0,Full
39,431.0,54.0,2000.0,1156.0,1.0,MD,Multi-vehicle Collision,Major Damage,Police,4.0,3.0,2.0,0.0,62300.0,0,8.0,33.0,Full
40,199.0,37.0,500.0,1262.0,0.0,JD,Single Vehicle Collision,Major Damage,Ambulance,4.0,1.0,0.0,0.0,60170.0,1,4.0,18.0,Full
41,79.0,26.0,500.0,1452.0,0.0,Associate,Single Vehicle Collision,Minor Damage,Ambulance,19.0,1.0,2.0,0.0,40000.0,0,5.0,7.0,Full
42,116.0,34.0,500.0,1738.0,0.0,Associate,Single Vehicle Collision,Major Damage,Police,1.0,1.0,1.0,0.0,97080.0,1,14.0,12.0,Full
43,37.0,23.0,500.0,1476.0,1.0,College,Multi-vehicle Collision,Minor Damage,Other,17.0,3.0,1.0,0.0,51660.0,0,5.0,7.0,Full
44,106.0,30.0,500.0,538.0,1.0,PhD,Single Vehicle Collision,Total Loss,Other,23.0,1.0,2.0,0.0,51120.0,0,10.0,13.0,Full
45,269.0,44.0,2000.0,1081.0,0.0,JD,Single Vehicle Collision,Minor Damage,Other,14.0,1.0,0.0,0.0,56400.0,0,1.0,27.0,Full
46,265.0,40.0,1000.0,1454.0,1.0,MD,Multi-vehicle Collision,Total Loss,Other,17.0,3.0,2.0,0.0,55120.0,0,13.0,23.0,Full
47,163.0,33.0,500.0,1240.0,1.0,Associate,Multi-vehicle Collision,Total Loss,Fire,11.0,3.0,1.0,0.0,77110.0,0,1.0,17.0,Full
48,355.0,47.0,2000.0,1274.0,0.0,College,Multi-vehicle Collision,Major Damage,Fire,19.0,3.0,2.0,0.0,62800.0,1,12.0,29.0,Full
49,175.0,34.0,1000.0,1124.0,1.0,PhD,Vehicle Theft,Trivial Damage,Police,5.0,1.0,2.0,1.0,7290.0,0,20.0,14.0,Full
50,192.0,35.0,1000.0,1246.0,1.0,Masters,Single Vehicle Collision,Total Loss,Other,19.0,1.0,0.0,0.0,76600.0,0,15.0,16.0,Full
51,430.0,59.0,2000.0,1327.0,0.0,MD,Multi-vehicle Collision,Minor Damage,Fire,19.0,3.0,0.0,1.0,81800.0,0,17.0,37.0,Full
52,91.0,27.0,2000.0,1074.0,1.0,JD,Vehicle Theft,Trivial Damage,,4.0,1.0,1.0,0.0,7260.0,0,7.0,8.0,Full
53,217.0,39.0,1000.0,1531.0,0.0,College,Vehicle Theft,Minor Damage,,8.0,1.0,2.0,1.0,4300.0,0,15.0,21.0,Full
54,223.0,40.0,500.0,1201.0,1.0,JD,Multi-vehicle Collision,Major Damage,Police,7.0,3.0,1.0,0.0,70510.0,0,16.0,20.0,Full
55,195.0,39.0,1000.0,1394.0,0.0,PhD,Parked Car,Minor Damage,Police,5.0,1.0,0.0,1.0,2640.0,0,6.0,21.0,Full
56,22.0,26.0,1000.0,1277.0,0.0,PhD,Single Vehicle Collision,Minor Damage,Fire,3.0,1.0,1.0,0.0,78900.0,0,20.0,10.0,Full
57,439.0,56.0,500.0,1082.0,1.0,PhD,Multi-vehicle Collision,Major Damage,Fire,12.0,3.0,2.0,0.0,56430.0,0,1.0,40.0,Full
58,94.0,32.0,1000.0,1415.0,1.0,Masters,Parked Car,Minor Damage,,19.0,1.0,1.0,0.0,2400.0,0,1.0,12.0,Full
59,11.0,39.0,2000.0,1470.0,0.0,PhD,Single Vehicle Collision,Total Loss,Ambulance,22.0,1.0,0.0,0.0,65790.0,0,8.0,18.0,Full
60,151.0,36.0,2000.0,871.0,1.0,MD,Multi-vehicle Collision,Minor Damage,Police,12.0,3.0,1.0,0.0,62920.0,0,15.0,15.0,Full
61,154.0,34.0,500.0,795.0,0.0,PhD,Multi-vehicle Collision,Major Damage,Police,15.0,3.0,2.0,0.0,69480.0,1,1.0,12.0,Full
62,245.0,44.0,1000.0,1168.0,0.0,JD,Multi-vehicle Collision,Total Loss,Other,23.0,3.0,0.0,0.0,44280.0,0,18.0,28.0,Full
63,119.0,32.0,1000.0,994.0,0.0,High School,Single Vehicle Collision,Minor Damage,Other,12.0,1.0,0.0,1.0,56300.0,0,4.0,12.0,Full
