index,timeAsCustomer,driverAge,insuranceAccess,insurancePremium,driverGender,educationLevel,accidentType,incidentSeverity,authoritiesInvolved,incidentTime,numVehiclesInvolved,numBodilyInjuries,policeReportBool,totalClaimAmount,fraud,vehicleAge,driverExperience,licenceType
0,328,48,1000,1407,0,MD,Single Vehicle Collision,Major Damage,Police,5,1,1,1,71610,1,11,28,Full
1,228,42,2000,1197,0,MD,Vehicle Theft,Minor Damage,Police,8,1,0,0,5070,1,8,21,Full
2,134,29,2000,1413,1,PhD,Multi-vehicle Collision,Minor Damage,Police,7,3,2,0,34650,0,8,13,Full
3,256,41,2000,1416,1,PhD,Single Vehicle Collision,Major Damage,Police,5,1,1,0,63400,1,1,22,Full
4,228,44,1000,1584,0,Associate,Vehicle Theft,Minor Damage,None,20,1,0,0,6500,0,6,25,Full
5,256,39,1000,1351,1,PhD,Multi-vehicle Collision,Major Damage,Fire,19,3,0,0,64100,1,12,20,Full
6,137,34,1000,1333,0,PhD,Multi-vehicle Collision,Minor Damage,Police,0,3,0,0,78650,0,3,17,Full
7,165,37,1000,1137,0,Associate,Multi-vehicle Collision,Total Loss,Police,23,3,2,1,51590,0,0,18,Full
8,27,33,500,1443,1,PhD,Single Vehicle Collision,Total Loss,Police,21,1,1,1,27700,0,3,12,Full
9,212,42,500,1316,0,PhD,Single Vehicle Collision,Total Loss,Other,14,1,2,0,42300,0,19,24,Full
10,235,42,500,1253,1,Masters,Single Vehicle Collision,Total Loss,Police,22,1,2,0,87010,0,13,22,Full
11,447,61,2000,1137,1,High School,Multi-vehicle Collision,Major Damage,Fire,21,3,1,1,114920,0,9,39,Full
12,60,23,500,1215,0,MD,Single Vehicle Collision,Total Loss,Ambulance,9,1,1,0,56520,0,15,7,Full
13,121,34,1000,937,1,MD,Parked Car,Minor Damage,None,5,1,1,0,7280,0,5,18,Full
14,180,38,2000,1301,1,College,Single Vehicle Collision,Total Loss,Police,12,1,0,1,46200,1,12,18,Full
15,473,58,2000,1131,1,MD,Multi-vehicle Collision,Major Damage,Other,12,4,0,0,63120,1,16,40,Full
16,70,26,1000,1199,0,College,Multi-vehicle Collision,Major Damage,Other,0,3,1,1,52110,0,3,9,Full
17,140,31,500,709,0,High School,Single Vehicle Collision,Total Loss,Police,9,1,0,1,77880,0,0,9,Full
18,160,37,500,1374,1,MD,Single Vehicle Collision,Total Loss,Other,19,1,1,0,72930,0,0,15,Full
19,196,39,2000,1476,1,High School,Multi-vehicle Collision,Major Damage,Police,8,3,2,0,60400,0,1,23,Full
20,460,62,1000,1188,0,JD,Multi-vehicle Collision,Minor Damage,Police,20,3,1,0,47160,0,4,45,Full
21,217,41,2000,875,1,Associate,Multi-vehicle Collision,Total Loss,Police,15,3,1,0,37840,0,19,20,Full
22,370,55,2000,972,0,High School,Multi-vehicle Collision,Major Damage,Ambulance,20,3,0,1,71520,1,15,38,Full
23,413,55,2000,1269,0,MD,Single Vehicle Collision,Total Loss,Ambulance,15,1,2,0,98160,1,4,34,Full
24,237,40,1000,883,0,College,Single Vehicle Collision,Minor Damage,Other,6,1,1,0,77880,0,10,24,Full
25,8,35,2000,1267,0,Masters,Multi-vehicle Collision,Major Damage,Other,16,3,1,1,71500,1,9,18,Full
26,257,43,2000,1322,0,High School,Parked Car,Minor Damage,Police,4,1,1,1,9020,0,10,23,Full
27,202,34,500,848,0,JD,Vehicle Theft,Minor Damage,None,5,1,2,0,5720,1,12,15,Full
28,224,40,2000,1292,1,JD,Single Vehicle Collision,Minor Damage,Other,21,1,1,1,69840,0,6,24,Full
29,241,45,2000,1104,1,PhD,Single Vehicle Collision,Minor Damage,Police,5,1,2,0,91650,0,4,26,Full
30,64,25,1000,954,0,Masters,Multi-vehicle Collision,Major Damage,Ambulance,22,4,0,0,75600,0,10,4,P2
31,166,37,2000,1337,0,JD,Multi-vehicle Collision,Major Damage,Police,10,3,2,0,67140,1,9,15,Full
32,155,35,1000,1088,1,Associate,Multi-vehicle Collision,Total Loss,Police,16,3,2,0,29790,0,7,19,Full
33,114,30,1000,1558,0,High School,Multi-vehicle Collision,Major Damage,Ambulance,1,3,1,0,77110,0,0,12,Full
34,149,37,500,1416,0,PhD,Single Vehicle Collision,Total Loss,Fire,17,1,0,1,64800,0,16,18,Full
35,147,33,1000,1334,0,High School,Single Vehicle Collision,Major Damage,Other,15,1,2,1,53100,1,20,17,Full
36,62,28,1000,988,1,Masters,Single Vehicle Collision,Total Loss,Police,3,1,1,1,60200,1,11,11,Full
37,289,49,2000,1222,1,JD,Parked Car,Minor Damage,None,16,1,1,1,5330,0,14,30,Full
38,431,54,2000,1156,1,MD,Multi-vehicle Collision,Major Damage,Police,4,3,2,0,62300,0,8,33,Full
39,199,37,500,1262,0,JD,Single Vehicle Collision,Major Damage,Ambulance,4,1,0,0,60170,1,4,18,Full
40,79,26,500,1452,0,Associate,Single Vehicle Collision,Minor Damage,Ambulance,19,1,2,0,40000,0,5,7,Full
41,116,34,500,1738,0,Associate,Single Vehicle Collision,Major Damage,Police,1,1,1,0,97080,1,14,12,Full
42,37,23,500,1476,1,College,Multi-vehicle Collision,Minor Damage,Other,17,3,1,0,51660,0,5,7,Full
43,106,30,500,538,1,PhD,Single Vehicle Collision,Total Loss,Other,23,1,2,0,51120,0,10,13,Full
44,269,44,2000,1081,0,JD,Single Vehicle Collision,Minor Damage,Other,14,1,0,0,56400,0,1,27,Full
45,265,40,1000,1454,1,MD,Multi-vehicle Collision,Total Loss,Other,17,3,2,0,55120,0,13,23,Full
46,163,33,500,1240,1,Associate,Multi-vehicle Collision,Total Loss,Fire,11,3,1,0,77110,0,1,17,Full
47,355,47,2000,1274,0,College,Multi-vehicle Collision,Major Damage,Fire,19,3,2,0,62800,1,12,29,Full
48,175,34,1000,1124,1,PhD,Vehicle Theft,Trivial Damage,Police,5,1,2,1,7290,0,20,14,Full
49,192,35,1000,1246,1,Masters,Single Vehicle Collision,Total Loss,Other,19,1,0,0,76600,0,15,16,Full
50,430,59,2000,1327,0,MD,Multi-vehicle Collision,Minor Damage,Fire,19,3,0,1,81800,0,17,37,Full
51,91,27,2000,1074,1,JD,Vehicle Theft,Trivial Damage,None,4,1,1,0,7260,0,7,8,Full
