index,index,timeascustomer,driverage,insuranceaccess,insurancepremium,incidenttime,numvehiclesinvolved,numbodilyinjuries,policereportbool,totalclaimamount,vehicleage,driverexperience,educationlevel,accidenttype,incidentseverity,authoritiesinvolved,licencetype,drivergender,fraud
1,1,328,48,1000,1407,5,1,1,1,71610,11,28,Bachelor,Multi-vehicle Collision,Major Loss,,Full,0.0,1
2,2,228,42,2000,1197,8,1,0,0,5070,8,21,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,1
3,3,134,29,2000,1413,7,3,2,0,34650,8,13,PhD,Single Vehicle Collision,Minor Damage,Other,Full,0.0,0
4,4,256,41,2000,1416,5,1,1,0,63400,1,22,Bachelor,Single Vehicle Collision,Major Loss,,Full,0.0,1
5,5,228,44,1000,1584,20,1,0,0,6500,6,25,High School,Multi-vehicle Collision,Major Damage,Police,Full,0.0,0
6,6,256,39,1000,1351,19,3,0,0,64100,12,20,High School,Parked Car,Total Loss,Ambulance,Full,0.0,1
7,7,137,34,1000,1333,0,3,0,0,78650,3,17,Masters,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
8,8,165,37,1000,1137,23,3,2,1,51590,0,18,Bachelor,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
9,9,27,33,500,1443,21,1,1,1,27700,3,12,MD,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
10,10,212,42,500,1316,14,1,2,0,42300,19,24,Masters,Parked Car,Major Loss,Ambulance,Full,0.0,0
11,11,235,42,500,1253,22,1,2,0,87010,13,22,High School,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
12,12,447,61,2000,1137,21,3,1,1,114920,9,39,Bachelor,Multi-vehicle Collision,Minor Damage,Police,Full,0.0,0
13,13,60,23,500,1215,9,1,1,0,56520,15,7,High School,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
14,14,121,34,1000,937,5,1,1,0,7280,5,18,MD,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
15,15,180,38,2000,1301,12,1,0,1,46200,12,18,Bachelor,Single Vehicle Collision,Total Loss,Police,Full,0.0,1
