ClaimsID,DriverID,InsuranceID,IncidentID,authoritiesInvolved,policeReportBool,totalClaimAmount,fraud,VehicleID
1,D001,In001,I001,Police,1.0,71610,1,V001
2,D002,In002,I002,Police,0.0,5070,1,V002
3,D003,In003,I003,Police,0.0,34650,0,V003
4,D004,In004,I004,Police,0.0,63400,1,V004
5,D005,In005,I005,None,0.0,6500,0,V005
6,D006,In006,I006,Fire,0.0,64100,1,V006
7,D007,In007,I007,Police,0.0,78650,0,V007
8,D008,In008,I008,Police,1.0,51590,0,V008
9,D009,In009,I009,Police,1.0,27700,0,V009
10,D010,In010,I010,Other,0.0,42300,0,V010
11,D011,In011,I011,Police,0.0,87010,0,V011
12,D012,In012,I012,Fire,1.0,114920,0,V012
13,D013,In013,I013,Ambulance,0.0,56520,0,V013
14,D014,In014,I014,None,0.0,7280,0,V014
15,D015,In015,I015,Police,1.0,46200,1,V015
16,D016,In016,I016,Other,0.0,63120,1,V016
17,D017,In017,I017,Other,1.0,52110,0,V017
18,D018,In018,I018,Police,1.0,77880,0,V018
19,D019,In019,I019,Other,0.0,72930,0,V019
20,D020,In020,I020,Police,0.0,60400,0,V020
21,D021,In021,I021,Police,0.0,47160,0,V021
22,D022,In022,I022,Police,0.0,37840,0,V022
23,D023,In023,I023,Ambulance,1.0,71520,1,V023
24,D024,In024,I024,Ambulance,0.0,98160,1,V024
25,D025,In025,I025,Other,0.0,77880,0,V025
26,D026,In026,I026,Other,1.0,71500,1,V026
27,D027,In027,I027,Police,1.0,9020,0,V027
28,D028,In028,I028,None,0.0,5720,1,V028
29,D029,In029,I029,Other,1.0,69840,0,V029
30,D030,In030,I030,Police,0.0,91650,0,V030
31,D031,In031,I031,Ambulance,0.0,75600,0,V031
32,D032,In032,I032,Police,0.0,67140,1,V032
33,D033,In033,I033,Police,0.0,29790,0,V033
34,D034,In034,I034,Ambulance,0.0,77110,0,V034
35,D035,In035,I035,Fire,1.0,64800,0,V035
36,D036,In036,I036,Other,1.0,53100,1,V036
37,D037,In037,I037,Police,1.0,60200,1,V037
38,D038,In038,I038,None,1.0,5330,0,V038
39,D039,In039,I039,Police,0.0,62300,0,V039
40,D040,In040,I040,Ambulance,0.0,60170,1,V040
41,D041,In041,I041,Ambulance,0.0,40000,0,V041
42,D042,In042,I042,Police,0.0,97080,1,V042
43,D043,In043,I043,Other,0.0,51660,0,V043
44,D044,In044,I044,Other,0.0,51120,0,V044
45,D045,In045,I045,Other,0.0,56400,0,V045
46,D046,In046,I046,Other,0.0,55120,0,V046
47,D047,In047,I047,Fire,0.0,77110,0,V047
48,D048,In048,I048,Fire,0.0,62800,1,V048
49,D049,In049,I049,Police,1.0,7290,0,V049
50,D050,In050,I050,Other,0.0,76600,0,V050
51,D051,In051,I051,Fire,1.0,81800,0,V051
52,D052,In052,I052,None,0.0,7260,0,V052
53,D053,In053,I053,None,1.0,4300,0,V053
54,D054,In054,I054,Police,0.0,70510,0,V054
55,D055,In055,I055,Police,1.0,2640,0,V055
56,D056,In056,I056,Fire,0.0,78900,0,V056
57,D057,In057,I057,Fire,0.0,56430,0,V057
58,D058,In058,I058,None,0.0,2400,0,V058
59,D059,In059,I059,Ambulance,0.0,65790,0,V059
60,D060,In060,I060,Police,0.0,62920,0,V060
61,D061,In061,I061,Police,0.0,69480,1,V061
62,D062,In062,I062,Other,0.0,44280,0,V062
63,D063,In063,I063,Other,1.0,56300,0,V063
64,D064,In064,I064,Fire,1.0,68520,1,V064
65,D065,In065,I065,Fire,0.0,59130,1,V065
66,D066,In066,I066,Ambulance,0.0,82320,1,V066
67,D067,In067,I067,Fire,0.0,89700,1,V067
68,D068,In068,I068,Fire,0.0,33930,0,V068
69,D069,In069,I069,Ambulance,0.0,68530,0,V069
70,D070,In070,I070,None,0.0,4300,0,V070
71,D071,In071,I071,Other,0.0,68310,1,V071
72,D072,In072,I072,Other,0.0,61290,1,V072
73,D073,In073,I073,Ambulance,0.0,30100,0,V073
74,D074,In074,I074,Fire,1.0,57120,0,V074
75,D075,In075,I075,Ambulance,1.0,42930,0,V075
76,D076,In076,I076,Ambulance,0.0,51210,0,V076
77,D077,In077,I077,Fire,1.0,89400,0,V077
78,D078,In078,I078,Police,0.0,59730,0,V078
79,D079,In079,I079,None,1.0,8060,0,V079
80,D080,In080,I080,Fire,0.0,72200,1,V080
81,D081,In081,I081,Ambulance,0.0,50800,0,V081
82,D082,In082,I082,None,0.0,6600,0,V082
83,D083,In083,I083,Police,0.0,7500,0,V083
84,D084,In084,I084,None,1.0,6490,0,V084
85,D085,In085,I085,Ambulance,0.0,60940,1,V085
86,D086,In086,I086,Fire,0.0,58300,0,V086
87,D087,In087,I087,Other,0.0,68400,0,V087
88,D088,In088,I088,Fire,1.0,64240,0,V088
89,D089,In089,I089,None,1.0,4700,0,V089
90,D090,In090,I090,Other,0.0,45120,1,V090
91,D091,In091,I091,Fire,0.0,66950,0,V091
92,D092,In092,I092,Police,0.0,98340,1,V092
93,D093,In093,I093,None,0.0,5900,0,V093
94,D094,In094,I094,Ambulance,0.0,70680,0,V094
95,D095,In095,I095,Ambulance,0.0,93720,0,V095
96,D096,In096,I096,None,1.0,6930,0,V096
97,D097,In097,I097,Fire,0.0,72930,1,V097
98,D098,In098,I098,Other,1.0,64890,1,V098
99,D099,In099,I099,None,1.0,5400,0,V099
100,D100,In100,I100,None,0.0,5600,0,V100
101,D101,In101,I101,Police,0.0,79300,0,V101
102,D102,In102,I102,Police,1.0,52800,0,V102
103,D103,In103,I103,Fire,0.0,28800,0,V103
104,D104,In104,I104,Police,0.0,2970,0,V104
105,D105,In105,I105,Police,0.0,93480,0,V105
106,D106,In106,I106,None,1.0,4320,0,V106
107,D107,In107,I107,Police,1.0,79800,1,V107
108,D108,In108,I108,Ambulance,0.0,74200,0,V108
109,D109,In109,I109,Fire,0.0,70590,1,V109
110,D110,In110,I110,Fire,1.0,60940,1,V110
111,D111,In111,I111,Police,1.0,74700,0,V111
112,D112,In112,I112,Fire,0.0,70000,1,V112
113,D113,In113,I113,Other,0.0,81070,0,V113
114,D114,In114,I114,Other,0.0,57720,0,V114
115,D115,In115,I115,None,1.0,7080,0,V115
116,D116,In116,I116,Other,0.0,47700,1,V116
117,D117,In117,I117,Police,0.0,51260,0,V117
118,D118,In118,I118,Police,0.0,70400,1,V118
119,D119,In119,I119,Fire,1.0,90000,0,V119
120,D120,In120,I120,Police,0.0,72820,0,V120
121,D121,In121,I121,Fire,0.0,69300,0,V121
122,D122,In122,I122,Ambulance,0.0,76560,1,V122
123,D123,In123,I123,Ambulance,1.0,55440,1,V123
124,D124,In124,I124,Other,0.0,77130,0,V124
125,D125,In125,I125,Ambulance,0.0,42000,0,V125
126,D126,In126,I126,Ambulance,1.0,36300,0,V126
127,D127,In127,I127,Other,0.0,40320,0,V127
128,D128,In128,I128,Police,0.0,3960,0,V128
129,D129,In129,I129,Fire,1.0,63840,1,V129
130,D130,In130,I130,Fire,0.0,44730,1,V130
131,D131,In131,I131,Other,0.0,84720,0,V131
132,D132,In132,I132,Other,0.0,61500,0,V132
133,D133,In133,I133,Ambulance,0.0,51000,0,V133
134,D134,In134,I134,Police,0.0,46800,0,V134
135,D135,In135,I135,Ambulance,0.0,78120,0,V135
136,D136,In136,I136,Police,0.0,69200,1,V136
137,D137,In137,I137,Police,0.0,3690,0,V137
138,D138,In138,I138,Fire,0.0,65500,0,V138
139,D139,In139,I139,Fire,1.0,76120,0,V139
140,D140,In140,I140,Other,1.0,73560,0,V140
141,D141,In141,I141,Police,0.0,52030,0,V141
142,D142,In142,I142,None,0.0,5170,0,V142
143,D143,In143,I143,None,1.0,8190,0,V143
144,D144,In144,I144,Ambulance,0.0,70800,1,V144
145,D145,In145,I145,Police,1.0,45630,0,V145
146,D146,In146,I146,Police,0.0,99320,1,V146
147,D147,In147,I147,Fire,0.0,64000,1,V147
148,D148,In148,I148,Fire,0.0,47300,0,V148
149,D149,In149,I149,Other,0.0,71680,1,V149
150,D150,In150,I150,Other,1.0,112320,1,V150
151,D151,In151,I151,Other,0.0,82720,0,V151
152,D152,In152,I152,Fire,0.0,48060,0,V152
153,D153,In153,I153,Police,1.0,63570,1,V153
154,D154,In154,I154,Fire,0.0,63240,0,V154
155,D155,In155,I155,Ambulance,0.0,54240,1,V155
156,D156,In156,I156,Police,0.0,37280,1,V156
157,D157,In157,I157,Police,1.0,72100,0,V157
158,D158,In158,I158,None,0.0,6500,0,V158
159,D159,In159,I159,Ambulance,0.0,78240,0,V159
160,D160,In160,I160,Police,0.0,6200,0,V160
161,D161,In161,I161,Police,0.0,6160,0,V161
162,D162,In162,I162,Ambulance,0.0,76050,0,V162
163,D163,In163,I163,Ambulance,1.0,86060,0,V163
164,D164,In164,I164,Fire,0.0,107900,1,V164
165,D165,In165,I165,Fire,1.0,99990,0,V165
166,D166,In166,I166,Ambulance,1.0,61380,0,V166
167,D167,In167,I167,Fire,1.0,71280,1,V167
168,D168,In168,I168,Ambulance,0.0,64000,0,V168
169,D169,In169,I169,Police,0.0,5940,0,V169
170,D170,In170,I170,None,0.0,6700,0,V170
171,D171,In171,I171,Police,0.0,51740,0,V171
172,D172,In172,I172,Ambulance,1.0,53600,1,V172
173,D173,In173,I173,Other,0.0,44910,0,V173
174,D174,In174,I174,Fire,1.0,48100,0,V174
175,D175,In175,I175,None,0.0,6100,0,V175
176,D176,In176,I176,Other,1.0,79600,0,V176
177,D177,In177,I177,Ambulance,1.0,77040,0,V177
178,D178,In178,I178,Fire,0.0,62590,0,V178
179,D179,In179,I179,Other,0.0,85150,0,V179
180,D180,In180,I180,None,0.0,4950,0,V180
181,D181,In181,I181,Fire,1.0,51100,0,V181
182,D182,In182,I182,Police,0.0,100800,0,V182
183,D183,In183,I183,Police,0.0,90970,0,V183
184,D184,In184,I184,Police,1.0,81840,1,V184
185,D185,In185,I185,Ambulance,0.0,54900,0,V185
186,D186,In186,I186,Fire,0.0,88660,1,V186
187,D187,In187,I187,Ambulance,0.0,18000,0,V187
188,D188,In188,I188,Police,1.0,5500,0,V188
189,D189,In189,I189,Other,0.0,73920,1,V189
190,D190,In190,I190,Ambulance,1.0,101860,0,V190
191,D191,In191,I191,None,1.0,5390,0,V191
192,D192,In192,I192,Police,0.0,50490,0,V192
193,D193,In193,I193,Police,0.0,55500,0,V193
194,D194,In194,I194,Police,1.0,7040,0,V194
195,D195,In195,I195,Other,1.0,40160,0,V195
196,D196,In196,I196,Fire,0.0,55680,0,V196
197,D197,In197,I197,Police,0.0,5300,1,V197
198,D198,In198,I198,None,0.0,5200,0,V198
199,D199,In199,I199,Ambulance,0.0,59400,0,V199
200,D200,In200,I200,Police,0.0,2520,0,V200
201,D201,In201,I201,Police,1.0,5760,0,V201
202,D202,In202,I202,Fire,1.0,76700,0,V202
203,D203,In203,I203,Police,0.0,5920,0,V203
204,D204,In204,I204,Fire,0.0,64350,0,V204
205,D205,In205,I205,Ambulance,0.0,19080,0,V205
206,D206,In206,I206,Police,0.0,54400,0,V206
207,D207,In207,I207,Fire,0.0,59800,1,V207
208,D208,In208,I208,Police,1.0,72000,0,V208
209,D209,In209,I209,Police,0.0,65070,0,V209
210,D210,In210,I210,Police,0.0,8800,0,V210
211,D211,In211,I211,Police,0.0,6120,0,V211
212,D212,In212,I212,None,0.0,7080,0,V212
213,D213,In213,I213,Ambulance,1.0,34320,0,V213
214,D214,In214,I214,Other,0.0,53460,1,V214
215,D215,In215,I215,Other,0.0,81360,1,V215
