DriverID,timeAsCustomer,driverAge,driverGender,educationLevel,driverExperience,licenceType
D001,328.0,48,0.0,MD,28,Full
D002,228.0,42,0.0,MD,21,Full
D003,134.0,29,1.0,PhD,13,Full
D004,256.0,41,1.0,PhD,22,Full
D005,228.0,44,0.0,Associate,25,Full
D006,256.0,39,1.0,PhD,20,Full
D007,137.0,34,0.0,PhD,17,Full
D008,165.0,37,0.0,Associate,18,Full
D009,27.0,33,1.0,PhD,12,Full
D010,212.0,42,0.0,PhD,24,Full
D011,235.0,42,1.0,Masters,22,Full
D012,447.0,61,1.0,High School,39,Full
D013,60.0,23,0.0,MD,7,Full
D014,121.0,34,1.0,MD,18,Full
D015,180.0,38,1.0,College,18,Full
D016,473.0,58,1.0,MD,40,Full
D017,70.0,26,0.0,College,9,Full
D018,140.0,31,0.0,High School,9,Full
D019,160.0,37,1.0,MD,15,Full
D020,196.0,39,1.0,High School,23,Full
D021,460.0,62,0.0,JD,45,Full
D022,217.0,41,1.0,Associate,20,Full
D023,370.0,55,0.0,High School,38,Full
D024,413.0,55,0.0,MD,34,Full
D025,237.0,40,0.0,College,24,Full
D026,8.0,35,0.0,Masters,18,Full
D027,257.0,43,0.0,High School,23,Full
D028,202.0,34,0.0,JD,15,Full
D029,224.0,40,1.0,JD,24,Full
D030,241.0,45,1.0,PhD,26,Full
D031,64.0,25,0.0,Masters,4,P2
D032,166.0,37,0.0,JD,15,Full
D033,155.0,35,1.0,Associate,19,Full
D034,114.0,30,0.0,High School,12,Full
D035,149.0,37,0.0,PhD,18,Full
D036,147.0,33,0.0,High School,17,Full
D037,62.0,28,1.0,Masters,11,Full
D038,289.0,49,1.0,JD,30,Full
D039,431.0,54,1.0,MD,33,Full
D040,199.0,37,0.0,JD,18,Full
D041,79.0,26,0.0,Associate,7,Full
D042,116.0,34,0.0,Associate,12,Full
D043,37.0,23,1.0,College,7,Full
D044,106.0,30,1.0,PhD,13,Full
D045,269.0,44,0.0,JD,27,Full
D046,265.0,40,1.0,MD,23,Full
D047,163.0,33,1.0,Associate,17,Full
D048,355.0,47,0.0,College,29,Full
D049,175.0,34,1.0,PhD,14,Full
D050,192.0,35,1.0,Masters,16,Full
D051,430.0,59,0.0,MD,37,Full
D052,91.0,27,1.0,JD,8,Full
D053,217.0,39,0.0,College,21,Full
D054,223.0,40,1.0,JD,20,Full
D055,195.0,39,0.0,PhD,21,Full
D056,22.0,26,0.0,PhD,10,Full
D057,439.0,56,1.0,PhD,40,Full
D058,94.0,32,1.0,Masters,12,Full
D059,11.0,39,0.0,PhD,18,Full
D060,151.0,36,1.0,MD,15,Full
D061,154.0,34,0.0,PhD,12,Full
D062,245.0,44,0.0,JD,28,Full
D063,119.0,32,0.0,High School,12,Full
D064,215.0,42,0.0,JD,25,Full
D065,295.0,42,0.0,PhD,22,Full
D066,254.0,39,1.0,MD,22,Full
D067,107.0,31,1.0,High School,13,Full
D068,478.0,64,1.0,Associate,46,Full
D069,128.0,30,0.0,MD,14,Full
D070,338.0,49,0.0,MD,32,Full
D071,271.0,42,1.0,Associate,25,Full
D072,222.0,41,1.0,MD,24,Full
D073,199.0,41,1.0,Associate,24,Full
D074,215.0,37,1.0,College,18,Full
D075,192.0,40,1.0,Associate,18,Full
D076,120.0,35,1.0,High School,16,Full
D077,270.0,45,1.0,College,23,Full
D078,319.0,47,0.0,College,29,Full
D079,194.0,39,1.0,JD,20,Full
D080,227.0,38,1.0,PhD,22,Full
D081,137.0,31,0.0,High School,9,Full
D082,244.0,40,1.0,Masters,21,Full
D083,78.0,29,0.0,Masters,8,Full
D084,200.0,35,0.0,High School,15,Full
D085,284.0,48,0.0,Masters,31,Full
D086,275.0,41,0.0,High School,23,Full
D087,153.0,34,1.0,Associate,14,Full
D088,134.0,32,1.0,MD,13,Full
D089,31.0,36,1.0,College,16,Full
D090,41.0,25,1.0,College,3,P2
D091,127.0,29,1.0,High School,9,Full
D092,61.0,23,1.0,Associate,3,P2
D093,207.0,42,0.0,PhD,23,Full
D094,219.0,43,1.0,MD,23,Full
D095,271.0,42,1.0,High School,22,Full
D096,80.0,25,1.0,PhD,5,Full
D097,325.0,47,1.0,Associate,31,Full
D098,29.0,25,0.0,Masters,3,P2
D099,295.0,48,1.0,College,28,Full
D100,239.0,42,0.0,College,23,Full
D101,269.0,41,1.0,College,23,Full
D102,80.0,27,1.0,College,6,Full
D103,279.0,41,1.0,JD,20,Full
D104,165.0,33,1.0,Associate,12,Full
D105,350.0,54,0.0,College,38,Full
D106,295.0,49,0.0,College,32,Full
D107,464.0,61,1.0,Associate,40,Full
D108,118.0,28,1.0,High School,11,Full
D109,298.0,47,1.0,PhD,28,Full
D110,87.0,31,1.0,Masters,15,Full
