IncidentID,accidentType,incidentSeverity,incidentTime,numVehiclesInvolved,numBodilyInjuries
I001,Single Vehicle Collision,Major Damage,5.0,1.0,1.0
I002,Vehicle Theft,Minor Damage,8.0,1.0,0.0
I003,Multi-vehicle Collision,Minor Damage,7.0,3.0,2.0
I004,Single Vehicle Collision,Major Damage,5.0,1.0,1.0
I005,Vehicle Theft,Minor Damage,20.0,1.0,0.0
I006,Multi-vehicle Collision,Major Damage,19.0,3.0,0.0
I007,Multi-vehicle Collision,Minor Damage,0.0,3.0,0.0
I008,Multi-vehicle Collision,Total Loss,23.0,3.0,2.0
I009,Single Vehicle Collision,Total Loss,21.0,1.0,1.0
I010,Single Vehicle Collision,Total Loss,14.0,1.0,2.0
I011,Single Vehicle Collision,Total Loss,22.0,1.0,2.0
I012,Multi-vehicle Collision,Major Damage,21.0,3.0,1.0
I013,Single Vehicle Collision,Total Loss,9.0,1.0,1.0
I014,Parked Car,Minor Damage,5.0,1.0,1.0
I015,Single Vehicle Collision,Total Loss,12.0,1.0,0.0
I016,Multi-vehicle Collision,Major Damage,12.0,4.0,0.0
I017,Multi-vehicle Collision,Major Damage,0.0,3.0,1.0
I018,Single Vehicle Collision,Total Loss,9.0,1.0,0.0
I019,Single Vehicle Collision,Total Loss,19.0,1.0,1.0
I020,Multi-vehicle Collision,Major Damage,8.0,3.0,2.0
I021,Multi-vehicle Collision,Minor Damage,20.0,3.0,1.0
I022,Multi-vehicle Collision,Total Loss,15.0,3.0,1.0
I023,Multi-vehicle Collision,Major Damage,20.0,3.0,0.0
I024,Single Vehicle Collision,Total Loss,15.0,1.0,2.0
I025,Single Vehicle Collision,Minor Damage,6.0,1.0,1.0
I026,Multi-vehicle Collision,Major Damage,16.0,3.0,1.0
I027,Parked Car,Minor Damage,4.0,1.0,1.0
I028,Vehicle Theft,Minor Damage,5.0,1.0,2.0
I029,Single Vehicle Collision,Minor Damage,21.0,1.0,1.0
I030,Single Vehicle Collision,Minor Damage,5.0,1.0,2.0
I031,Multi-vehicle Collision,Major Damage,22.0,4.0,0.0
I032,Multi-vehicle Collision,Major Damage,10.0,3.0,2.0
I033,Multi-vehicle Collision,Total Loss,16.0,3.0,2.0
I034,Multi-vehicle Collision,Major Damage,1.0,3.0,1.0
I035,Single Vehicle Collision,Total Loss,17.0,1.0,0.0
I036,Single Vehicle Collision,Major Damage,15.0,1.0,2.0
I037,Single Vehicle Collision,Total Loss,3.0,1.0,1.0
I038,Parked Car,Minor Damage,16.0,1.0,1.0
I039,Multi-vehicle Collision,Major Damage,4.0,3.0,2.0
I040,Single Vehicle Collision,Major Damage,4.0,1.0,0.0
I041,Single Vehicle Collision,Minor Damage,19.0,1.0,2.0
I042,Single Vehicle Collision,Major Damage,1.0,1.0,1.0
I043,Multi-vehicle Collision,Minor Damage,17.0,3.0,1.0
I044,Single Vehicle Collision,Total Loss,23.0,1.0,2.0
I045,Single Vehicle Collision,Minor Damage,14.0,1.0,0.0
I046,Multi-vehicle Collision,Total Loss,17.0,3.0,2.0
I047,Multi-vehicle Collision,Total Loss,11.0,3.0,1.0
I048,Multi-vehicle Collision,Major Damage,19.0,3.0,2.0
I049,Vehicle Theft,Trivial Damage,5.0,1.0,2.0
I050,Single Vehicle Collision,Total Loss,19.0,1.0,0.0
I051,Multi-vehicle Collision,Minor Damage,19.0,3.0,0.0
I052,Vehicle Theft,Trivial Damage,4.0,1.0,1.0
I053,Vehicle Theft,Minor Damage,8.0,1.0,2.0
I054,Multi-vehicle Collision,Major Damage,7.0,3.0,1.0
I055,Parked Car,Minor Damage,5.0,1.0,0.0
I056,Single Vehicle Collision,Minor Damage,3.0,1.0,1.0
I057,Multi-vehicle Collision,Major Damage,12.0,3.0,2.0
I058,Parked Car,Minor Damage,19.0,1.0,1.0
I059,Single Vehicle Collision,Total Loss,22.0,1.0,0.0
I060,Multi-vehicle Collision,Minor Damage,12.0,3.0,1.0
