timeAsCustomer,driverAge,insuranceAccess,insurancePremium,driverGender,educationLevel,accidentType,incidentSeverity,authoritiesInvolved,incidentTime,numVehiclesInvolved,numBodilyInjuries,policeReportBool,totalClaimAmount,fraud,vehicleAge,driverExperience,licenceType
101.0,27.0,1000.0,433.0,-0.0,Masters,Parked Car,Minor Damage,,7.0,1.0,-0.0,0.0,5900.0,-0.0,6.0,9.0,Full
75.0,27.0,1000.0,1203.0,0.0,High School,Multi-vehicle Collision,Minor Damage,Police,23.0,3.0,-0.0,1.0,79560.0,-0.0,12.0,11.0,Full
410.0,54.0,2000.0,714.0,-0.0,MD,Single Vehicle Collision,Minor Damage,Ambulance,0.0,1.0,-0.0,-0.0,59520.0,-0.0,14.0,37.0,Full
116.0,31.0,500.0,1195.0,1.0,MD,Single Vehicle Collision,Major Damage,Police,23.0,1.0,-0.0,-0.0,44200.0,-0.0,18.0,11.0,Full
195.0,39.0,1000.0,1394.0,0.0,PhD,Parked Car,Minor Damage,Police,5.0,1.0,0.0,1.0,2640.0,-0.0,6.0,21.0,Full
1.0,29.0,500.0,855.0,1.0,JD,Single Vehicle Collision,Minor Damage,Police,15.0,1.0,2.0,1.0,86790.0,0.0,12.0,8.0,Full
76.0,24.0,1000.0,1623.0,1.0,MD,Multi-vehicle Collision,Total Loss,Ambulance,6.0,3.0,1.0,0.0,74700.0,-0.0,18.0,2.0,P1
210.0,35.0,500.0,1433.0,1.0,College,Multi-vehicle Collision,Total Loss,Fire,11.0,3.0,2.0,0.0,24570.0,1.0,9.0,16.0,Full
95.0,28.0,1000.0,774.0,0.0,Associate,Vehicle Theft,Trivial Damage,,3.0,1.0,1.0,-0.0,3200.0,-0.0,1.0,12.0,Full
239.0,38.0,1000.0,1277.0,1.0,Masters,Multi-vehicle Collision,Major Damage,Police,12.0,3.0,1.0,-0.0,61920.0,-0.0,12.0,17.0,Full
45.0,31.0,500.0,1460.0,-0.0,MD,Parked Car,Minor Damage,,6.0,1.0,1.0,-0.0,6000.0,0.0,15.0,13.0,Full
190.0,35.0,500.0,1485.0,1.0,High School,Parked Car,Trivial Damage,,4.0,1.0,0.0,-0.0,3840.0,0.0,17.0,16.0,Full
