accidentType,authoritiesInvolved,driverAge,driverExperience,driverGender,educationLevel,incidentSeverity,incidentTime,index,insuranceAccess,insurancePremium,licenceType,numBodilyInjuries,numVehiclesInvolved,policeReportBool,timeAsCustomer,totalClaimAmount,vehicleAge,fraud
Single Vehicle Collision,Police,64.0,46.0,,College,Minor Loss,9.0,1647.0,2000.0,1471.0,Full,1.0,1.0,1.0,117.0,9000.0,19.0,0
Single Vehicle Collision,Other,20.0,2.0,1.0,High School,Minor Damage,22.0,655.0,1000.0,1190.0,P1,1.0,1.0,1.0,2.0,48360.0,15.0,0
Multi-vehicle Collision,Ambulance,44.0,22.0,,Bachelor,Total Loss,21.0,1440.0,2000.0,1193.0,Full,0.0,3.0,1.0,48.0,7000.0,5.0,0
Single Vehicle Collision,,57.0,37.0,,Bachelor,Total Loss,14.0,1901.0,500.0,965.0,Full,1.0,1.0,1.0,94.0,6000.0,6.0,0
Vehicle Theft,Police,45.0,25.0,0.0,Masters,Trivial Damage,4.0,638.0,1000.0,1359.0,Full,-0.0,1.0,-0.0,292.0,7370.0,18.0,0
Parked Car,Police,43.0,23.0,-0.0,High School,Minor Damage,4.0,27.0,2000.0,1322.0,Full,1.0,1.0,1.0,257.0,9020.0,10.0,0
Single Vehicle Collision,Other,49.0,33.0,,College,Major Loss,10.0,1894.0,2000.0,1539.0,Full,1.0,1.0,1.0,82.0,4000.0,12.0,0
Multi-vehicle Collision,Ambulance,29.0,10.0,-0.0,College,Major Damage,15.0,716.0,1000.0,1275.0,Full,2.0,3.0,1.0,96.0,55400.0,11.0,0
Multi-vehicle Collision,Ambulance,39.0,22.0,,High School,Total Loss,11.0,1239.0,2000.0,1596.0,Full,1.0,3.0,1.0,118.0,1000.0,13.0,0
Single Vehicle Collision,Ambulance,31.0,12.0,,Masters,Total Loss,18.0,1791.0,500.0,1168.0,Full,1.0,1.0,1.0,48.0,2000.0,16.0,0
Multi-vehicle Collision,,38.0,22.0,,Masters,Major Loss,6.0,2124.0,2000.0,1620.0,Full,1.0,3.0,1.0,110.0,5000.0,3.0,1
Multi-vehicle Collision,Police,49.0,31.0,,Bachelor,Minor Loss,13.0,1857.0,1000.0,1479.0,Full,1.0,3.0,-0.0,99.0,9000.0,7.0,0
Single Vehicle Collision,Police,23.0,3.0,1.0,Associate,Major Damage,14.0,92.0,2000.0,1137.0,P2,0.0,1.0,0.0,61.0,98340.0,11.0,0
Vehicle Theft,,49.0,32.0,-0.0,College,Minor Damage,4.0,106.0,500.0,1142.0,Full,1.0,1.0,1.0,295.0,4320.0,13.0,0
Multi-vehicle Collision,,56.0,36.0,,Bachelor,Minor Loss,14.0,1868.0,1000.0,1153.0,Full,1.0,4.0,1.0,103.0,8000.0,11.0,0
Multi-vehicle Collision,Ambulance,62.0,44.0,,Bachelor,Major Loss,11.0,1764.0,500.0,1431.0,Full,-0.0,3.0,0.0,64.0,1000.0,-0.0,0
Vehicle Theft,Ambulance,41.0,25.0,,Masters,Major Loss,22.0,1592.0,2000.0,1019.0,Full,1.0,1.0,1.0,65.0,10000.0,4.0,0
Parked Car,Police,49.0,27.0,,Masters,Total Loss,14.0,1148.0,1000.0,1411.0,Full,-0.0,1.0,1.0,33.0,4000.0,8.0,0
Multi-vehicle Collision,Other,47.0,28.0,,High School,Minor Loss,5.0,1415.0,500.0,1202.0,Full,-0.0,3.0,1.0,70.0,1000.0,15.0,0
Single Vehicle Collision,Other,37.0,15.0,1.0,MD,Total Loss,19.0,19.0,500.0,1374.0,Full,1.0,1.0,-0.0,160.0,72930.0,-0.0,0
Multi-vehicle Collision,Other,47.0,28.0,,High School,Minor Loss,5.0,1415.0,500.0,1202.0,Full,-0.0,3.0,1.0,70.0,1000.0,15.0,0
Multi-vehicle Collision,Ambulance,57.0,39.0,,High School,Minor Loss,5.0,1882.0,1000.0,1383.0,Full,-0.0,3.0,1.0,109.0,8000.0,13.0,0
Multi-vehicle Collision,Ambulance,54.0,33.0,,College,Minor Loss,18.0,1740.0,1000.0,1425.0,Full,-0.0,3.0,1.0,7.0,10000.0,5.0,0
Multi-vehicle Collision,Ambulance,63.0,42.0,,High School,Minor Loss,20.0,2132.0,1000.0,1386.0,Full,1.0,3.0,0.0,99.0,10000.0,6.0,0
Single Vehicle Collision,,37.0,21.0,,College,Minor Loss,12.0,2281.0,1000.0,1187.0,Full,-0.0,1.0,1.0,8.0,1000.0,5.0,0
Parked Car,Ambulance,64.0,45.0,,College,Total Loss,23.0,2050.0,1000.0,1208.0,Full,1.0,1.0,1.0,17.0,5000.0,17.0,0
