index,timeAsCustomer,driverAge,insuranceAccess,insurancePremium,driverGender,educationLevel,accidentType,incidentSeverity,authoritiesInvolved,incidentTime,numVehiclesInvolved,numBodilyInjuries,policeReportBool,totalClaimAmount,fraud,vehicleAge,driverExperience,licenceType
1,182,28,2000,1487,1,College,Single Vehicle Collision,Total Loss,None,7,1,2,0,76084,0,14,13,Full
2,349,55,1000,1281,1,High School,Multi-vehicle Collision,Total Loss,Other,17,3,2,0,58089,0,18,37,Full
3,16,55,1000,1297,1,College,Multi-vehicle Collision,Total Loss,Other,19,3,0,0,3668,1,5,30,Full
4,88,40,2000,1256,,Masters,Multi-vehicle Collision,Minor Loss,Ambulance,3,4,1,1,4273,0,18,22,Full
5,10,27,1000,1499,1,College,Single Vehicle Collision,Major Damage,Ambulance,20,1,2,0,68210,0,4,11,Ls
6,32,28,500,1051,,Masters,Single Vehicle Collision,Trivial Damage,None,8,1,0,1,11378,0,4,9,Full
7,36,27,500,1530,,Bachelor,Vehicle Theft,Total Loss,None,12,1,1,1,4199,0,5,10,P2
8,452,58,500,884,0,High School,Parked Car,Major Damage,Fire,18,2,1,0,67643,0,15,44,Full
9,31,21,1000,1344,,Masters,Single Vehicle Collision,Minor Loss,Other,12,1,1,1,7135,0,1,2,P2
10,75,53,1000,1643,,College,Multi-vehicle Collision,Major Loss,Ambulance,7,3,1,1,3794,0,0,32,Full
11,104,52,1000,1474,,Bachelor,Single Vehicle Collision,Minor Loss,Police,17,1,0,1,7128,0,20,33,Full
12,83,25,500,1568,1,High School,Parked Car,Trivial Damage,Police,2,1,0,0,4360,0,4,9,Full
13,247,48,1000,1289,,PhD,Parked Car,Total Loss,None,10,1,1,1,5019,0,10,35,Full
14,74,48,2000,1462,,Bachelor,Multi-vehicle Collision,Total Loss,Police,16,1,0,1,7573,0,2,33,Full
15,340,56,500,1456,,MD,Single Vehicle Collision,Minor Loss,None,11,1,1,0,8677,0,13,39,Full
16,95,49,1000,1093,,College,Parked Car,Total Loss,None,9,1,1,0,6743,0,3,28,Full
17,140,49,2000,1593,0,MD,Single Vehicle Collision,Minor Damage,Ambulance,17,1,0,0,3329,0,13,24,Full
18,306,38,500,1237,0,Associate,Multi-vehicle Collision,Major Damage,Fire,22,3,0,0,63577,1,19,20,Full
19,117,35,500,1263,,High School,Single Vehicle Collision,Minor Loss,None,0,1,1,1,2849,0,15,25,Full
20,287,50,2000,1275,0,High School,Multi-vehicle Collision,Major Loss,None,4,3,1,1,4401,0,4,36,Full
21,250,36,2000,1396,1,JD,Single Vehicle Collision,Major Damage,Ambulance,9,1,2,0,74077,0,13,26,Full
22,21,42,500,1568,,Bachelor,Multi-vehicle Collision,Total Loss,None,21,3,1,1,3857,0,8,19,Full
23,479,58,1000,1540,0,JD,Multi-vehicle Collision,Major Damage,Fire,21,3,0,0,73120,0,19,36,Full
24,85,57,500,1374,,Masters,Single Vehicle Collision,Total Loss,Police,12,1,1,0,5654,0,20,39,Full
25,108,39,500,1086,1,College,Vehicle Theft,Trivial Damage,None,3,1,1,0,8795,0,11,6,Full
26,367,55,1000,889,0,Masters,Multi-vehicle Collision,Total Loss,Ambulance,17,2,0,0,69321,0,18,45,Full
27,276,56,2000,1370,1,High School,Single Vehicle Collision,Major Damage,None,6,1,1,0,9428,0,15,32,Full
28,193,47,2000,1566,1,JD,Multi-vehicle Collision,Total Loss,Other,22,1,2,0,3463,0,0,26,Full
29,285,43,500,1771,1,Associate,Single Vehicle Collision,Major Damage,Fire,11,1,2,0,62849,0,17,29,Full
30,41,40,2000,1222,1,Masters,Multi-vehicle Collision,Major Damage,Fire,11,3,1,1,74197,0,2,10,Full
31,103,46,500,1396,,Bachelor,Vehicle Theft,Total Loss,None,11,1,0,1,6929,0,20,40,Full
32,14,27,500,1168,,Bachelor,Multi-vehicle Collision,Major Loss,None,7,3,1,0,5947,0,5,19,Full
33,150,42,500,1147,1,JD,Single Vehicle Collision,Minor Damage,Police,9,1,2,1,66164,0,17,28,Full
34,17,55,1000,1128,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,5,1,1,1,3090,0,18,37,Full
35,247,45,500,1106,0,Associate,Single Vehicle Collision,Total Loss,Other,16,3,1,0,48993,0,19,32,Full
36,63,33,500,1583,1,Masters,Single Vehicle Collision,Minor Damage,Police,10,1,1,1,63104,0,19,30,Full
37,93,34,500,1024,,Bachelor,Single Vehicle Collision,Major Loss,Police,17,1,0,1,2228,0,8,26,Full
38,0,31,500,1691,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,10,1,1,1,2449,0,16,8,Full
39,32,63,500,895,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,20,1,1,1,5157,0,11,45,Full
40,364,57,2000,1181,0,Associate,Multi-vehicle Collision,Major Damage,Other,20,1,2,0,74922,0,10,36,Full
41,203,47,2000,1522,0,JD,Multi-vehicle Collision,Minor Damage,Police,13,3,1,0,60711,0,18,38,Full
42,37,48,500,1166,,Bachelor,Vehicle Theft,Total Loss,Police,6,3,0,0,2142,0,11,32,Full
43,286,50,500,1125,0,Associate,Multi-vehicle Collision,Major Damage,Police,22,3,0,0,58720,0,17,26,Full
44,103,57,500,1126,,College,Single Vehicle Collision,Total Loss,Police,3,1,1,1,7680,0,3,38,Full
45,121,45,2000,924,0,College,Parked Car,Trivial Damage,None,6,1,0,0,7724,0,18,9,Full
46,97,38,1000,1550,,Bachelor,Multi-vehicle Collision,Minor Loss,None,22,3,1,1,5408,0,6,16,Full
47,86,31,2000,1232,1,Masters,Single Vehicle Collision,Total Loss,Other,11,1,1,0,68960,0,18,10,Full
48,79,27,500,907,,College,Parked Car,Major Loss,None,7,1,1,1,7717,0,18,10,Full
49,104,46,1000,1683,,College,Single Vehicle Collision,Major Loss,Police,18,1,1,1,7205,0,17,35,Full
50,95,58,2000,1607,0,High School,Single Vehicle Collision,Minor Loss,Ambulance,13,4,1,0,2925,1,8,42,Full
51,258,64,500,1251,0,Masters,Vehicle Theft,Minor Damage,None,11,1,0,0,5630,0,14,42,Full
52,175,50,2000,1208,,High School,Multi-vehicle Collision,Total Loss,Ambulance,13,3,1,1,4351,0,6,26,Full
53,107,39,500,1380,,Bachelor,Vehicle Theft,Minor Loss,Police,17,1,1,1,8836,0,2,33,Full
54,395,53,500,1703,0,College,Single Vehicle Collision,Major Damage,Ambulance,5,3,0,0,75821,0,5,43,Full
55,106,45,1000,835,,PhD,Multi-vehicle Collision,Minor Damage,Police,20,3,1,1,4236,0,1,23,Full
56,47,22,2000,1565,,Masters,Single Vehicle Collision,Minor Loss,Ambulance,4,1,1,1,9812,0,14,2,P2
57,27,41,2000,1555,1,PhD,Single Vehicle Collision,Major Damage,Other,11,1,0,1,78008,1,2,20,Full
58,99,57,500,1473,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,18,3,1,0,145,0,12,39,Full
59,11,49,2000,1508,,Bachelor,Parked Car,Minor Loss,Police,6,3,1,1,4453,0,4,34,Full
60,236,62,500,1303,0,MD,Multi-vehicle Collision,Major Damage,Ambulance,15,3,2,0,70958,0,1,32,Full
61,376,58,500,1435,,High School,Multi-vehicle Collision,Major Loss,Ambulance,5,4,1,1,4943,0,17,43,Full
62,154,29,2000,1521,1,Associate,Single Vehicle Collision,Major Damage,Fire,15,1,0,0,46914,1,19,9,P1
63,101,29,2000,1021,,MD,Single Vehicle Collision,Total Loss,None,15,1,0,1,4990,0,20,11,Full
64,49,37,500,1285,0,PhD,Multi-vehicle Collision,Major Damage,Ambulance,17,3,0,0,70995,1,11,11,Full
65,259,51,1000,1109,,PhD,Multi-vehicle Collision,Minor Loss,Police,8,2,1,0,4564,0,2,28,Full
66,97,40,1000,1094,1,College,Multi-vehicle Collision,Major Loss,Ambulance,17,4,2,0,4580,0,0,34,Full
67,15,33,500,1497,,High School,Single Vehicle Collision,Minor Loss,Police,4,1,1,1,4310,0,16,19,Full
68,112,27,2000,1246,,College,Single Vehicle Collision,Total Loss,Police,14,1,0,0,5376,0,20,10,Full
69,102,40,500,1664,0,PhD,Multi-vehicle Collision,Total Loss,Other,18,2,2,1,56154,0,19,14,Full
70,42,32,500,1371,,High School,Multi-vehicle Collision,Total Loss,Ambulance,2,1,1,1,7920,0,17,12,Full
71,104,49,1000,1589,1,Bachelor,Single Vehicle Collision,Minor Loss,Other,13,1,0,0,59831,0,18,11,Full
72,52,24,500,1174,,Bachelor,Single Vehicle Collision,Major Loss,Police,18,1,0,1,9498,0,19,10,Full
73,310,59,500,1365,0,JD,Multi-vehicle Collision,Total Loss,Ambulance,12,3,0,0,70285,0,2,25,Full
74,23,57,500,1280,,College,Multi-vehicle Collision,Major Loss,None,8,3,1,1,4024,0,3,30,Full
75,10,24,500,1601,1,PhD,Multi-vehicle Collision,Total Loss,Fire,5,3,1,1,55223,0,12,0,P1
76,40,28,1000,1405,0,PhD,Multi-vehicle Collision,Major Damage,Ambulance,21,3,0,1,66135,0,20,7,P2
77,238,35,500,1518,1,JD,Parked Car,Minor Damage,Police,13,2,0,0,68050,0,7,20,Full
78,77,38,1000,1160,,JD,Multi-vehicle Collision,Total Loss,None,19,1,0,1,5949,0,8,19,Full
79,296,40,500,1364,1,MD,Single Vehicle Collision,Minor Damage,Fire,18,1,0,0,77161,0,19,25,Full
80,32,60,2000,1319,1,High School,Multi-vehicle Collision,Major Damage,Ambulance,2,2,1,0,66067,1,4,44,Full
81,23,58,500,1638,,College,Multi-vehicle Collision,Major Loss,Ambulance,14,4,1,0,2560,0,0,43,Full
82,64,25,1000,1491,,High School,Multi-vehicle Collision,Major Loss,Ambulance,14,3,0,0,5574,0,7,5,P2
83,27,31,1000,1071,,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,3,1,1,0,5847,0,13,19,Full
84,198,55,500,1529,0,PhD,Multi-vehicle Collision,Minor Loss,Ambulance,6,3,0,0,5032,0,9,28,Full
85,43,38,2000,1314,,College,Multi-vehicle Collision,Minor Loss,Ambulance,16,4,1,1,3788,0,16,30,Full
86,56,58,1000,1013,,PhD,Single Vehicle Collision,Major Damage,Ambulance,1,1,0,0,44800,1,6,24,Full
87,29,23,500,1454,1,Associate,Multi-vehicle Collision,Major Damage,Police,7,3,0,0,75664,0,5,0,P1
88,258,32,500,1300,0,High School,Single Vehicle Collision,Major Damage,Ambulance,9,1,0,0,70302,0,8,8,Full
89,285,30,1000,1575,1,High School,Vehicle Theft,Minor Damage,Fire,14,1,2,0,58283,0,11,25,Full
90,12,26,2000,1477,,Bachelor,Multi-vehicle Collision,Total Loss,None,6,3,1,1,5935,0,3,11,Full
91,40,34,2000,1518,,Masters,Parked Car,Minor Loss,Ambulance,4,1,1,0,4498,0,3,20,Full
92,6,28,2000,1123,,Masters,Vehicle Theft,Trivial Damage,None,10,1,0,1,5732,0,3,12,Full
93,281,57,2000,857,0,High School,Multi-vehicle Collision,Major Damage,Ambulance,20,3,0,1,66411,1,9,39,Full
94,15,27,2000,1605,1,Associate,Single Vehicle Collision,Major Damage,Other,9,1,1,0,49919,0,12,16,Full
95,227,56,1000,1512,0,College,Multi-vehicle Collision,Total Loss,Fire,20,4,0,1,45188,0,17,46,Full
96,73,46,500,1486,,Bachelor,Single Vehicle Collision,Total Loss,Other,3,1,1,0,2285,0,15,38,Full
97,236,37,500,1890,1,JD,Parked Car,Trivial Damage,None,11,1,1,0,3905,0,1,25,Full
98,441,63,500,1462,,Masters,Multi-vehicle Collision,Total Loss,Ambulance,7,3,2,0,57826,0,18,45,Full
99,432,62,500,1387,,MD,Single Vehicle Collision,Total Loss,Police,7,1,1,0,5318,0,13,43,Full
100,7,31,1000,1523,0,MD,Parked Car,Trivial Damage,None,14,1,0,0,7099,0,7,7,Full
101,286,54,500,1455,1,Associate,Single Vehicle Collision,Major Damage,Other,10,1,1,0,72023,0,16,23,P1
102,56,52,2000,1463,,High School,Single Vehicle Collision,Total Loss,Ambulance,14,1,1,0,804,0,5,12,Full
103,46,51,500,1546,1,Associate,Multi-vehicle Collision,Total Loss,Ambulance,18,2,1,0,62262,0,9,13,Full
104,33,34,500,1488,1,Masters,Multi-vehicle Collision,Total Loss,Other,3,3,0,0,64652,0,3,19,Full
105,95,58,500,1211,,Bachelor,Single Vehicle Collision,Major Loss,Police,9,1,1,0,4876,0,12,42,Full
106,9,58,2000,1066,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,7,2,1,1,3807,0,4,21,Full
107,238,37,2000,1619,,College,Single Vehicle Collision,Major Loss,Ambulance,6,1,0,0,52585,0,5,39,Full
108,21,32,500,1501,,Bachelor,Multi-vehicle Collision,Major Loss,Police,15,4,1,1,5596,0,3,12,Full
109,109,62,500,1565,1,College,Multi-vehicle Collision,Major Damage,Fire,17,4,0,0,62862,0,18,48,Full
110,30,52,1000,1257,,Masters,Multi-vehicle Collision,Minor Loss,Ambulance,18,3,1,0,5264,0,0,41,Full
111,57,30,2000,1657,,Bachelor,Single Vehicle Collision,Total Loss,Police,20,1,1,1,7353,0,17,14,Full
112,101,30,2000,1026,,High School,Multi-vehicle Collision,Total Loss,Police,16,3,1,1,5922,0,10,13,Full
113,100,31,2000,1562,,High School,Single Vehicle Collision,Minor Loss,Ambulance,20,1,0,1,9467,0,16,15,Full
114,112,32,500,1146,1,PhD,Single Vehicle Collision,Minor Damage,Police,19,1,0,1,61781,0,6,26,Full
115,115,62,2000,1055,,Bachelor,Multi-vehicle Collision,Minor Loss,None,5,2,1,0,1670,0,6,42,Full
116,28,29,500,1412,,Bachelor,Parked Car,Minor Loss,Police,15,1,0,1,6309,0,11,13,Full
117,201,44,500,1092,0,High School,Single Vehicle Collision,Major Loss,Ambulance,19,1,1,0,61542,0,6,27,Full
118,32,35,1000,1503,,Bachelor,Multi-vehicle Collision,Major Loss,Ambulance,19,1,1,0,8011,0,9,16,P2
119,35,53,500,1550,1,High School,Multi-vehicle Collision,Minor Damage,Police,9,3,0,1,7448,0,18,29,Full
120,101,29,1000,1630,1,Masters,Multi-vehicle Collision,Total Loss,Ambulance,16,3,0,1,7427,0,17,9,Full
121,319,50,2000,1047,1,PhD,Multi-vehicle Collision,Major Damage,Fire,17,3,2,0,56966,1,19,46,Full
122,68,25,1000,1636,,Bachelor,Single Vehicle Collision,Total Loss,None,9,1,1,0,8242,0,16,1,Full
123,226,36,1000,1435,1,Associate,Single Vehicle Collision,Minor Damage,Fire,13,1,1,0,70758,0,2,22,Full
124,368,60,2000,1582,1,MD,Single Vehicle Collision,Major Damage,Police,17,1,0,1,4174,0,15,32,Full
125,217,57,1000,1135,0,JD,Single Vehicle Collision,Major Loss,Police,2,1,0,1,65185,0,17,39,Full
126,63,35,1000,1450,,Bachelor,Vehicle Theft,Minor Loss,Other,20,3,0,1,4813,0,6,20,Full
127,250,39,2000,1233,1,JD,Single Vehicle Collision,Total Loss,Other,16,1,1,1,63835,0,18,26,Full
128,71,25,2000,1440,1,High School,Single Vehicle Collision,Minor Loss,Other,16,1,1,0,8285,0,14,12,Ls
129,221,46,2000,1207,1,High School,Parked Car,Minor Damage,Police,12,1,1,1,11073,0,16,28,Full
130,289,38,2000,1161,1,Associate,Multi-vehicle Collision,Minor Damage,Ambulance,17,3,1,0,69325,0,18,26,Full
131,99,30,2000,946,1,MD,Single Vehicle Collision,Total Loss,None,12,1,1,1,6856,0,15,11,Full
132,24,50,500,1567,,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,5,1,1,1,4677,0,11,23,Full
133,15,54,1000,1386,,Bachelor,Single Vehicle Collision,Total Loss,Police,5,1,0,0,7762,0,19,12,Full
134,50,52,2000,1197,,High School,Multi-vehicle Collision,Total Loss,Ambulance,10,3,1,1,6522,0,1,31,Full
135,376,63,500,1591,0,College,Multi-vehicle Collision,Total Loss,Other,20,3,1,0,51858,0,5,43,Full
136,33,63,500,1488,,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,13,4,1,0,1178,0,17,36,Full
137,222,59,1000,1132,1,Associate,Single Vehicle Collision,Major Damage,Ambulance,21,1,0,0,70787,0,17,30,Full
138,35,40,1000,1487,1,High School,Parked Car,Trivial Damage,None,10,1,0,1,5878,1,4,24,Full
139,38,32,2000,1547,,Bachelor,Multi-vehicle Collision,Total Loss,None,16,1,1,0,4328,0,1,25,Full
140,31,60,500,949,,Bachelor,Multi-vehicle Collision,Major Loss,Ambulance,20,3,1,1,6703,0,6,27,Full
141,28,25,1000,1315,1,College,Single Vehicle Collision,Major Damage,Other,11,1,1,0,53937,0,17,24,Full
142,450,44,500,1088,0,High School,Multi-vehicle Collision,Major Damage,Fire,20,4,2,0,56105,0,4,35,Full
143,24,24,2000,1264,,Bachelor,Vehicle Theft,Total Loss,Fire,12,1,1,1,7382,0,11,16,P2
144,46,43,1000,1386,,Masters,Multi-vehicle Collision,Total Loss,Ambulance,8,3,1,0,5595,0,7,17,Full
145,96,27,500,1432,1,Associate,Single Vehicle Collision,Major Damage,Other,19,1,1,0,55534,0,8,8,Full
146,177,42,1000,1231,1,JD,Parked Car,Trivial Damage,None,16,1,0,0,6679,0,8,8,Full
147,372,64,500,1123,,Masters,Single Vehicle Collision,Total Loss,Police,7,1,0,0,7830,0,6,45,Full
148,97,31,500,1432,,Masters,Parked Car,Major Loss,None,6,1,1,1,6106,0,17,21,Full
149,93,30,1000,1158,,Bachelor,Single Vehicle Collision,Major Loss,Police,3,1,1,0,5758,0,14,5,Full
150,77,58,2000,1643,,Bachelor,Multi-vehicle Collision,Major Loss,None,16,1,1,1,5168,0,11,45,Full
151,25,29,500,1569,,Bachelor,Multi-vehicle Collision,Major Loss,None,1,4,0,1,4812,0,17,25,Full
152,77,29,500,1218,,Bachelor,Single Vehicle Collision,Total Loss,Fire,7,1,1,1,69244,0,10,10,Full
153,118,58,500,916,0,Masters,Multi-vehicle Collision,Major Loss,Ambulance,5,3,0,0,72815,1,6,42,Full
154,42,44,2000,1362,,Bachelor,Single Vehicle Collision,Total Loss,Police,14,1,1,0,4928,0,14,28,Full
155,77,30,1000,1264,,Bachelor,Vehicle Theft,Minor Loss,Police,17,1,1,1,8154,1,14,10,Full
156,5,30,2000,1670,,College,Multi-vehicle Collision,Major Loss,None,9,2,1,1,3669,0,5,27,Full
157,174,33,500,1378,1,High School,Single Vehicle Collision,Total Loss,Ambulance,12,1,0,0,63607,0,15,12,Full
